"pathway","pval","padj","log2err","ES","NES","size"
"KEGG_MEDICUS_REFERENCE_ADRB3_UCP1_SIGNALING_PATHWAY",0.0751891396475724,0.192938169661695,0.287805130535564,-0.383173316189215,-1.3534330014224,34
"KEGG_MEDICUS_REFERENCE_AGE_RAGE_SIGNALING_PATHWAY",0.402214022140221,0.626348553561871,0.130777137971974,-0.372331186460548,-1.0510157078888,16
"KEGG_MEDICUS_REFERENCE_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY",0.00031758710947774,0.00417985615054574,0.49849310876659,-0.622029132729451,-2.10395225836005,27
"KEGG_MEDICUS_REFERENCE_ANTEROGRADE_AXONAL_TRANSPORT",0.460358056265985,0.666793725819055,0.0609039347452418,0.40096027228481,1.01969190668078,24
"KEGG_MEDICUS_REFERENCE_AREG_EGFR_RAS_ERK_SIGNALING_PATHWAY",0.25,0.46375856615709,0.166933848713193,-0.421840949794939,-1.17104951177043,15
"KEGG_MEDICUS_REFERENCE_ARL8_REGULATED_MICROTUBULE_PLUS_END_DIRECTED_TRANSPORT",0.523809523809524,0.726919339164237,0.0526973085708419,0.359396477530902,0.979828751680338,35
"KEGG_MEDICUS_REFERENCE_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY",0.322429906542056,0.532596768701048,0.16823816568964,-0.329737274445985,-1.09776766498152,25
"KEGG_MEDICUS_REFERENCE_ASSEMBLY_AND_TRAFFICKING_OF_TELOMERASE",0.0783783783783784,0.196186370419499,0.184706471207739,0.579067816482676,1.38830343012091,18
"KEGG_MEDICUS_REFERENCE_AUTOPHAGOSOME_AND_LYSOSOME_FUSION_TETHERING_FACTOR",0.0108645658393906,0.0521499160290747,0.380730400722792,-0.607964014610376,-1.71615957089414,16
"KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_MTORC1_PI3KC3_C1",0.929889298892989,0.980923491742501,0.0787113806986485,-0.22459075735028,-0.633974328247135,16
"KEGG_MEDICUS_REFERENCE_BCR_PLCG_CALCINEURIN_SIGNALING_PATHWAY",0.0188150829648946,0.0760054836601683,0.352487857583619,-0.58394278706307,-1.64835249914441,16
"KEGG_MEDICUS_REFERENCE_BMP_SIGNALING_PATHWAY",0.139442231075697,0.296046266635134,0.241339976815091,-0.409319709017136,-1.26462758455136,20
"KEGG_MEDICUS_REFERENCE_BMP_SIGNALING_PATHWAY_BMP_ANTAGONIST",0.0451493537120023,0.134459389156912,0.321775918075361,-0.530856777312068,-1.47368236818524,15
"KEGG_MEDICUS_REFERENCE_BRANCHING_MICROTUBULE_NUCLEATION",0.886934673366834,0.961262806138152,0.0294936424723046,0.263109434882792,0.706379550142161,33
"KEGG_MEDICUS_REFERENCE_CA2_CAM_CAMK_SIGNALING_PATHWAY",0.00300207760503607,0.0218722796938342,0.431707695803346,-0.619348490956621,-1.85907320299521,19
"KEGG_MEDICUS_REFERENCE_CA2_ENTRY_VOLTAGE_GATED_CA2_CHANNEL",0.241379310344828,0.455938697318008,0.188204146308491,-0.359155705825738,-1.16350042795411,23
"KEGG_MEDICUS_REFERENCE_CA2_PYK2_RAS_ERK_SIGNALING_PATHWAY",0.0114412156058581,0.0536553559447137,0.380730400722792,-0.604957857058559,-1.67939030929663,15
"KEGG_MEDICUS_REFERENCE_CARDIAC_TYPE_VGCC_RYR_SIGNALING",0.0162009200115457,0.0682578841159216,0.352487857583619,-0.54497900910576,-1.635841350737,19
"KEGG_MEDICUS_REFERENCE_CCR2_GNB_G_PI3K_NFKB_SIGNALING_PATHWAY",0.0806209968308952,0.198152811487983,0.287805130535564,-0.396052926846096,-1.37986647320777,31
"KEGG_MEDICUS_REFERENCE_CCR5_GNB_G_PLCB_G_PKC_SIGNALING_PATHWAY",0.253588516746411,0.46375856615709,0.193813302725311,-0.333232796419949,-1.10992266646634,26
"KEGG_MEDICUS_REFERENCE_CCR_CXCR_GNB_G_PI3K_RAC_SIGNALING_PATHWAY",0.872955974842767,0.954868733876271,0.0303467275556782,0.268888861794311,0.711771849486749,31
"KEGG_MEDICUS_REFERENCE_CD80_CD86_CTLA4_PP2A_SIGNALING_PATHWAY",0.516666666666667,0.721917808219178,0.121543282035469,-0.295219857040911,-0.944426503004086,22
"KEGG_MEDICUS_REFERENCE_COHESIN_DISSOCIATION_IN_ANAPHASE",0.352941176470588,0.569169960474308,0.0774767547848578,0.468698552439168,1.09381343385066,16
"KEGG_MEDICUS_REFERENCE_COHESIN_DISSOCIATION_IN_PROPHASE",0.283173734610123,0.498899486426999,0.0894366833718621,0.492748964668743,1.14994047723377,16
"KEGG_MEDICUS_REFERENCE_CONDENSIN_LOADING",0.328894806924101,0.540001515495946,0.0797705918628453,0.450888531246043,1.10968465608671,20
"KEGG_MEDICUS_REFERENCE_COPI_VESICLE_FORMATION",0.780172413793103,0.916128103634401,0.0972150808846466,-0.250402317347924,-0.811189126802761,23
"KEGG_MEDICUS_REFERENCE_CORE_NER_REACTION",0.503121098626717,0.707839338757587,0.0555947097758869,0.379926438321546,0.996925730289263,29
"KEGG_MEDICUS_REFERENCE_CRHR_PKA_ACTH_SIGNALING_PATHWAY",0.018439999888581,0.075278658103593,0.352487857583619,-0.501967171742196,-1.65226361406992,24
"KEGG_MEDICUS_REFERENCE_CROSSTALK_BETWEEN_EXTRINSIC_AND_INTRINSIC_APOPTOTIC_PATHWAYS",0.114285714285714,0.260735121317694,0.252961123069611,-0.48906965602309,-1.3576794338861,15
"KEGG_MEDICUS_REFERENCE_CX3CR1_GNAI_AC_PKA_SIGNALING_PATHWAY",0.0405762328304319,0.123545544737434,0.321775918075361,-0.540015849483328,-1.52435563002732,16
"KEGG_MEDICUS_REFERENCE_CXCL12_CXCR4_PKC_ERK_SIGNALING_PATHAWAY",0.384313725490196,0.607751937984496,0.13880510939114,-0.353592677232644,-1.06136477381776,19
"KEGG_MEDICUS_REFERENCE_CXCR4_GNAQ_PLCB_G_CALCINEURIN_SIGNALING_PATHWAY",0.119521912350598,0.267939232082658,0.261663521711573,-0.422423097553381,-1.30511160286023,20
"KEGG_MEDICUS_REFERENCE_CXCR4_GNB_G_PLCB_PKC_SIGNALING_PATHWAY",0.130434782608696,0.281490242460083,0.276500599254472,-0.356432397179291,-1.2418267395456,31
"KEGG_MEDICUS_REFERENCE_CXCR4_GNB_G_RAC_SIGNALING_PATHWAY",0.0956751391572864,0.226367753722044,0.287805130535564,-0.408863203107993,-1.36183035250136,26
